faval,fakdm,fakdul,fa01b,fakduk,facu33,fabelu,fakunr,fadato,fadaff,faavdr,faopko,fajour,faggrp,faaccn,faexra,fafrbn,falevn,famade,faagrn,fataxa,facuri,facd12,facd13,facd21,facd22,facd23,facd31,faavd,faopd,fali,favk,fabeln,fakda,fask,fafakt,famnd,facd32,favt,facc,faamou
NOK,J,J,,,NOK,0,1,20000218,20000303,1,O,113,FI,30100,0,0,0,,0,0,NOK,,,,,,,1,52745,1,FRA,500,M,K,283230,1,,,20,0
NOK,N,,,,NOK,0,1,20000218,20000303,1,O,113,FI,30100,0,0,0,,0,0,NOK,,,,,,,1,52745,2,UTL,100,A,K,283230,1,,,20,0
NOK,J,,,,,0,1,20000425,0,1,O,31,CK,41100,0,0,0,,210,0,,,,,,,,1,52746,1,FRA,-30,I,I,500297,2,,,20,0
NOK,N,J,,,,0,24,0,0,0,,0,,0,0,0,0,,0,0,,,,,,,,1,52747,1,FRA,0,B,S,0,0,,,0,0
DEM,N,J,,,,0,70,0,0,0,,0,,0,0,0,0,,0,0,,,,,,,,1,52747,2,SEA,0,A,K,0,0,,,0,0
NOK,N,,,,,0,70,20000901,20000915,1,O,91,FK,0,0,0,5000,,0,0,NOK,,,,,,,1,52747,3,FRA,-63905,K,K,786,9,,SINGAPORE AIRLI S:02,20,0
NOK,N,,,,,0,24,20000901,20000915,1,O,91,FK,0,0,0,5000,,0,0,NOK,,,,,,,1,52747,4,FRA,-63905,K,S,786,9,,SINGAPORE AIRLI S:02,20,0
NOK,N,J,,,,0,24,0,0,0,,0,,0,0,0,0,,0,0,,,,,,,,1,52748,1,FRA,0,B,S,0,0,,,0,0
DEM,N,J,,,,0,70,0,0,0,,0,,0,0,0,0,,0,0,,,,,,,,1,52748,2,SEA,0,A,K,0,0,,,0,0
NOK,N,,,,,0,70,20000901,20000915,1,O,91,FK,0,0,0,5000,,0,0,NOK,,,,,,,1,52748,3,FRA,-63905,K,K,786,9,,SINGAPORE AIRLI S:02,20,0
NOK,N,,,,,0,24,20000901,20000915,1,O,91,FK,0,0,0,5000,,0,0,NOK,,,,,,,1,52748,4,FRA,-63905,K,S,786,9,,SINGAPORE AIRLI S:02,20,0
NOK,N,J,,,,0,24,0,0,0,,0,,0,0,0,0,,0,0,,,,,,,,1,52749,1,FRA,0,B,S,0,0,,,0,0
DEM,N,J,,,,0,70,0,0,0,,0,,0,0,0,0,,0,0,,,,,,,,1,52749,2,SEA,0,A,K,0,0,,,0,0
NOK,N,,,,,0,70,20000901,20000915,1,O,91,FK,0,0,0,5000,,0,0,NOK,,,,,,,1,52749,3,FRA,-63905,K,K,786,9,,SINGAPORE AIRLI S:02,20,0
NOK,N,,,,,0,24,20000901,20000915,1,O,91,FK,0,0,0,5000,,0,0,NOK,,,,,,,1,52749,4,FRA,-63905,K,S,786,9,,SINGAPORE AIRLI S:02,20,0
NOK,N,J,,,,0,24,0,0,0,,0,,0,0,0,0,,0,0,,,,,,,,1,52750,1,FRA,0,B,S,0,0,,,0,0
DEM,N,J,,,,0,70,0,0,0,,0,,0,0,0,0,,0,0,,,,,,,,1,52750,2,SEA,0,A,K,0,0,,,0,0
NOK,N,,,,,0,70,20000901,20000915,1,O,91,FK,0,0,0,5000,,0,0,NOK,,,,,,,1,52750,3,FRA,-63905,K,K,786,9,,SINGAPORE AIRLI S:02,20,0
NOK,N,,,,,0,24,20000901,20000915,1,O,91,FK,0,0,0,5000,,0,0,NOK,,,,,,,1,52750,4,FRA,-63905,K,S,786,9,,SINGAPORE AIRLI S:02,20,0
NOK,N,J,,,,0,24,0,0,0,,0,,0,0,0,0,,0,0,,,,,,,,1,52751,1,FRA,0,B,S,0,0,,,0,0
